date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:08:29	18607/18607	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Nov%202013%2023:19:34%20GMT	http://acm.sgu.ru/status.php?problem=103&contest=0	/home/dell/websites/sgu/acm.sgu.ru/status27a8.html	(from )
21:08:30	7936/7936	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Nov%202013%2023:19:34%20GMT	http://acm.sgu.ru/problem.php?contest=0&problem=104	/home/dell/websites/sgu/acm.sgu.ru/problemc6ef.html	(from )
21:08:31	18417/18417	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Nov%202013%2023:19:34%20GMT	http://acm.sgu.ru/status.php?problem=104&contest=0	/home/dell/websites/sgu/acm.sgu.ru/status92c5.html	(from )
21:08:32	1730/1730	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Nov%202013%2023:19:34%20GMT	http://acm.sgu.ru/problem.php?contest=0&problem=105	/home/dell/websites/sgu/acm.sgu.ru/problemfd38.html	(from )
21:08:34	18478/18478	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Nov%202013%2023:19:34%20GMT	http://acm.sgu.ru/status.php?problem=105&contest=0	/home/dell/websites/sgu/acm.sgu.ru/statusd026.html	(from )
21:08:34	1962/1962	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Nov%202013%2023:19:34%20GMT	http://acm.sgu.ru/problem.php?contest=0&problem=106	/home/dell/websites/sgu/acm.sgu.ru/problemb29d.html	(from )
21:08:36	18481/18481	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Nov%202013%2023:19:34%20GMT	http://acm.sgu.ru/status.php?problem=106&contest=0	/home/dell/websites/sgu/acm.sgu.ru/statusb73a.html	(from )
21:08:37	1720/1720	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Nov%202013%2023:19:34%20GMT	http://acm.sgu.ru/problem.php?contest=0&problem=107	/home/dell/websites/sgu/acm.sgu.ru/problem6f34.html	(from )
21:08:39	18511/18511	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Nov%202013%2023:19:34%20GMT	http://acm.sgu.ru/status.php?problem=107&contest=0	/home/dell/websites/sgu/acm.sgu.ru/statusc015.html	(from )
21:08:40	3326/3326	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Nov%202013%2023:19:34%20GMT	http://acm.sgu.ru/problem.php?contest=0&problem=108	/home/dell/websites/sgu/acm.sgu.ru/probleme447.html	(from )
21:08:41	18543/18543	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Nov%202013%2023:19:34%20GMT	http://acm.sgu.ru/status.php?problem=108&contest=0	/home/dell/websites/sgu/acm.sgu.ru/statuseb7c.html	(from )
21:08:42	4097/4097	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Nov%202013%2023:19:34%20GMT	http://acm.sgu.ru/problem.php?contest=0&problem=109	/home/dell/websites/sgu/acm.sgu.ru/problemaf52.html	(from )
21:08:44	18497/18497	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Nov%202013%2023:19:34%20GMT	http://acm.sgu.ru/status.php?problem=109&contest=0	/home/dell/websites/sgu/acm.sgu.ru/statuse96d.html	(from )
21:08:44	3599/3599	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Nov%202013%2023:19:34%20GMT	http://acm.sgu.ru/problem.php?contest=0&problem=110	/home/dell/websites/sgu/acm.sgu.ru/problema46e.html	(from )
21:08:46	18474/18474	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Nov%202013%2023:19:34%20GMT	http://acm.sgu.ru/status.php?problem=110&contest=0	/home/dell/websites/sgu/acm.sgu.ru/statusf10d.html	(from )
21:08:47	1713/1713	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Nov%202013%2023:19:34%20GMT	http://acm.sgu.ru/problem.php?contest=0&problem=111	/home/dell/websites/sgu/acm.sgu.ru/problemfd00.html	(from )
21:08:49	18484/18484	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Nov%202013%2023:19:34%20GMT	http://acm.sgu.ru/status.php?problem=111&contest=0	/home/dell/websites/sgu/acm.sgu.ru/status38f7.html	(from )
21:08:49	1666/1666	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Nov%202013%2023:19:34%20GMT	http://acm.sgu.ru/problem.php?contest=0&problem=112	/home/dell/websites/sgu/acm.sgu.ru/problemf0a6.html	(from )
21:08:51	18478/18478	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Nov%202013%2023:19:34%20GMT	http://acm.sgu.ru/status.php?problem=112&contest=0	/home/dell/websites/sgu/acm.sgu.ru/status85fb.html	(from )
21:08:52	2541/2541	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Nov%202013%2023:19:34%20GMT	http://acm.sgu.ru/problem.php?contest=0&problem=113	/home/dell/websites/sgu/acm.sgu.ru/problemc8a4.html	(from )
21:08:54	18483/18483	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Nov%202013%2023:19:34%20GMT	http://acm.sgu.ru/status.php?problem=113&contest=0	/home/dell/websites/sgu/acm.sgu.ru/status6b59.html	(from )
21:08:54	2581/2581	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Nov%202013%2023:19:34%20GMT	http://acm.sgu.ru/problem.php?contest=0&problem=114	/home/dell/websites/sgu/acm.sgu.ru/problem6c6b.html	(from )
21:08:56	18496/18496	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Nov%202013%2023:19:34%20GMT	http://acm.sgu.ru/status.php?problem=114&contest=0	/home/dell/websites/sgu/acm.sgu.ru/status1e03.html	(from )
21:08:57	2190/2190	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Nov%202013%2023:19:34%20GMT	http://acm.sgu.ru/problem.php?contest=0&problem=115	/home/dell/websites/sgu/acm.sgu.ru/problem1170.html	(from )
21:08:59	18467/18467	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Nov%202013%2023:19:34%20GMT	http://acm.sgu.ru/status.php?problem=115&contest=0	/home/dell/websites/sgu/acm.sgu.ru/status3813.html	(from )
21:09:00	2641/2641	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Nov%202013%2023:19:34%20GMT	http://acm.sgu.ru/problem.php?contest=0&problem=116	/home/dell/websites/sgu/acm.sgu.ru/probleme788.html	(from )
21:09:01	18554/18554	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Nov%202013%2023:19:34%20GMT	http://acm.sgu.ru/status.php?problem=116&contest=0	/home/dell/websites/sgu/acm.sgu.ru/statusbb4a.html	(from )
